,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current,new top cell voltage,new bottom cell voltage,new current,added voltage
0,Top_cell_2,2.63,lambda,light transmission as a function of wavelength,280.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,1.397,-37.30738,1.27,-50.584986410256406,-33.9158,0.0,0.0,1.1059376530255305,1.1059376530255305
1,Top_cell_1,0.29,,,281.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,1.374659,-24.78135,1.24969,-39.19768641025641,-22.5285,0.0001286733352780043,0.0005353297839054991,1.1059259369178676,1.1060546102531457
2,2T_tandem,2.92,,,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,1.352318,-12.38787,1.22938,-27.930886410256413,-11.2617,0.0002573466705560086,0.0010706595678109982,1.1059142208102046,1.1061715674807606
3,,,,,283.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,1.329966,-2.247586,1.20906,-18.712446410256412,-2.04326,0.0003860200058340129,0.0016059893517164972,1.105902504702542,1.106288524708376
4,,,,,284.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,1.307625,5.440215,1.18875,-11.723536410256411,4.94565,0.0005146933411120172,0.0021413191356219963,1.105890788594879,1.106405481935991
5,,,,,285.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,1.285284,10.834923,1.16844,-6.819256410256411,9.84993,0.0006433666763900215,0.002676648919527495,1.105879072487216,1.1065224391636062
6,,,,,286.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,1.262943,14.42716,1.14813,-3.553586410256411,13.1156,0.0007720400116680258,0.0032119787034329945,1.1058673563795534,1.1066393963912213
7,,,,,287.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,1.240591,16.75982,1.12781,-1.4329864102564116,15.2362,0.0009007133469460302,0.0037473084873384938,1.1058556402718904,1.1067563536188365
8,,,,,288.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,1.21825,18.25758,1.1075,-0.07138641025641235,16.5978,0.0010293866822240344,0.004282638271243993,1.1058439241642277,1.1068733108464517
9,,,,,289.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,1.195909,19.27838,1.08719,0.8566135897435885,17.5258,0.0011580600175020387,0.0048179680551494915,1.1058322080565648,1.1069902680740669
10,,,,,290.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,1.173568,19.92782,1.06688,1.4470135897435874,18.1162,0.001286733352780043,0.00535329783905499,1.1058204919489019,1.1071072253016818
11,,,,,291.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,1.151216,20.32547,1.04656,1.808513589743587,18.4777,0.0014154066880580475,0.00588862762296049,1.1058087758412392,1.1072241825292972
12,,,,,292.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,1.128875,20.61708,1.02625,2.0736135897435872,18.7428,0.0015440800233360516,0.006423957406865989,1.1057970597335762,1.1073411397569122
13,,,,,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,1.106534,20.80254,1.00594,2.2422135897435886,18.9114,0.001672753358614056,0.006959287190771488,1.1057853436259135,1.1074580969845276
14,,,,,294.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,1.0841875,20.93509,0.985625,2.3627135897435885,19.0319,0.0018014266938920604,0.0074946169746769875,1.1057736275182506,1.1075750542121428
15,,,,,295.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,1.0618443,20.98822,0.965313,2.4110135897435896,19.0802,0.0019301000291700647,0.008029946758582486,1.1057619114105877,1.1076920114397577
16,,,,,296.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,1.0395,21.06764,0.945,2.4832135897435883,19.1524,0.002058773364448069,0.008565276542487985,1.105750195302925,1.107808968667373
17,,,,,297.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,1.0171557,21.06764,0.924687,2.4832135897435883,19.1524,0.002187446699726073,0.009100606326393484,1.105738479195262,1.107925925894988
18,,,,,298.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.9948125,21.12077,0.904375,2.5315135897435894,19.2007,0.0023161200350040774,0.009635936110298983,1.105726763087599,1.1080428831226032
19,,,,,299.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.9724682,21.13397,0.884062,2.54351358974359,19.2127,0.0024447933702820817,0.010171265894204482,1.1057150469799364,1.1081598403502184
20,,,,,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.950125,21.10746,0.86375,2.519413589743589,19.1886,0.002573466705560086,0.01070659567810998,1.1057033308722735,1.1082767975778336
21,,,,,301.0,2.2085538496453066e-05,0.010430006373767682,0.09323067,0.381774429,301.0,0.0,0.0,0.0847551543654865,0.0,0.9277818,21.13397,0.843438,2.54351358974359,19.2127,0.0027021400408380907,0.011241925462015481,1.1056916147646108,1.1083937548054488
22,,,,,302.0,5.326758210290613e-05,0.015132835824689241,0.135267839,0.552080155,302.0,0.0,0.0,0.1229707626978491,0.0,0.9054375,21.09415,0.823125,2.507313589743589,19.1765,0.002830813376116095,0.01177725524592098,1.1056798986569478,1.108510712033064
23,,,,,303.0,0.00015024101432621625,0.019866580406772395,0.177581349,0.722385881,303.0,0.0,0.0,0.1614375897702543,0.0,0.8830932,21.08084,0.802812,2.4952135897435888,19.1644,0.0029594867113940993,0.012312585029826479,1.105668182549285,1.108627669260679
24,,,,,304.0,0.00026891156278891236,0.024631240008144022,0.220171199,0.892691608,304.0,0.0,0.0,0.2001556355827022,0.0,0.86075,21.13397,0.7825,2.54351358974359,19.2127,0.003088160046672103,0.012847914813731978,1.1056564664416222,1.1087446264882943
25,,,,,305.0,0.0005130565150037077,0.029426814740677237,0.26303739,1.062997334,305.0,0.0,0.0,0.2391249001351926,0.0,0.8384068,21.14728,0.762188,2.5556135897435865,19.2248,0.0032168333819501075,0.013383244597637477,1.1056447503339593,1.1088615837159093
26,,,,,306.0,0.0007224878273677176,0.03425330460437205,0.306179922,1.23330306,306.0,0.0,0.0,0.2783453834277256,0.0,0.8160625,21.13397,0.741875,2.54351358974359,19.2127,0.003345506717228112,0.013918574381542976,1.1056330342262963,1.1089785409435244
27,,,,,307.0,0.0012056853967214467,0.03911070948735534,0.349598794,1.403608786,307.0,0.0,0.0,0.3178170854603011,0.0,0.7937182,21.13397,0.721562,2.54351358974359,19.2127,0.003474180052506116,0.014453904165448474,1.1056213181186336,1.1090954981711398
28,,,,,308.0,0.0018415793797852916,0.04399902950150022,0.393294007,1.573914512,308.0,0.0,0.0,0.3575400062329192,0.0,0.771375,21.13397,0.70125,2.54351358974359,19.2127,0.003602853387784121,0.014989233949353975,1.1056096020109707,1.1092124553987548
29,,,,,309.0,0.0022237020100967426,0.048918264534933566,0.43726556,1.744220238,309.0,0.0,0.0,0.39751414574558,0.0,0.7490307,21.13397,0.680937,2.54351358974359,19.2127,0.003731526723062125,0.015524563733259474,1.105597885903308,1.1093294126263702
30,,,,,310.0,0.0031123823303020087,0.05386841469952851,0.481513454,1.914525964,310.0,0.0,0.0,0.4377395039982833,0.0,0.7266875,21.08084,0.660625,2.4952135897435888,19.1644,0.0038602000583401294,0.016059893517164973,1.105586169795645,1.1094463698539851
31,,,,,311.0,0.006682373542169122,0.07726403864337764,0.690639855,2.737195236,311.0,0.0,0.0,0.6278544135420409,0.0,0.7043432,21.10746,0.640312,2.519413589743589,19.1886,0.003988873393618133,0.01659522330107047,1.1055744536879821,1.1095633270816003
32,,,,,312.0,0.010226912668036896,0.10086458730218603,0.901598016,3.561827486,312.0,0.0,0.0,0.8196345598102563,0.0,0.682,21.14728,0.62,2.5556135897435865,19.2248,0.004117546728896138,0.01713055308497597,1.1055627375803194,1.1096802843092155
33,,,,,313.0,0.014382732016213158,0.12461482891427347,1.113894237,4.386459737,313.0,0.0,0.0,1.0126311248078783,0.0,0.6596568,21.1871,0.599688,2.5918135897435874,19.261,0.004246220064174143,0.01766588286888147,1.1055510214726565,1.1097972415368307
