,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 4T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 4T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current
0,Top_cell_2,23.47,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0,1.397,-37.30738,0.0,17.5,42.65
1,Bottom_cell_1,11.11,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0,1.374659,-24.78135,0.069827226,17.5,42.65
2,4T_tandem,34.58,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0,1.352318,-12.38787,0.147149657,17.5,42.65
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0,1.329966,-2.247586,0.231165316,17.5,42.65
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0,1.307625,5.440215,0.316665292,17.5,42.65
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0,1.285284,10.834923,0.376887378,17.5,42.65
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,1.262943,14.42716,0.445290586,17.5,42.65
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1.240591,16.75982,0.498822994,17.4786079,42.6286079
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,1.21825,18.25758,0.524103575,17.35495915,42.50495915
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0,1.195909,19.27838,0.541204808,17.29288365,42.44288365
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0,1.173568,19.92782,0.547895321,17.35361983,42.50361983
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0,1.151216,20.32547,0.556817258,17.353117590000004,42.50311759
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0,1.128875,20.61708,0.573918491,17.291042090000005,42.44104209
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0,1.106534,20.80254,0.583583906,17.29049799,42.44049799
