,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 4T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 4T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current
0,Top_cell_2,23.47,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0,1.397,-37.30738,0.0,21.17,46.915
1,Bottom_cell_2,13.44,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0,1.374659,-24.78135,0.076809949,21.17,46.915
2,4T_tandem,36.91,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0,1.352318,-12.38787,0.161864623,21.17,46.915
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0,1.329966,-2.247586,0.254281848,21.17,46.915
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0,1.307625,5.440215,0.348331821,21.17,46.915
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0,1.285284,10.834923,0.414576116,21.17,46.915
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,1.262943,14.42716,0.489819645,21.17,46.915
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1.240591,16.75982,0.548705293,21.146468690000006,46.89146869
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,1.21825,18.25758,0.576513933,21.01045507,46.75545507
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0,1.195909,19.27838,0.595325289,20.94217202,46.68717202
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0,1.173568,19.92782,0.602684853,21.00898181,46.75398181
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0,1.151216,20.32547,0.612498984,21.00842935,46.75342935
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0,1.128875,20.61708,0.63131034,20.940146300000002,46.6851463
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0,1.106534,20.80254,0.641942297,20.939547790000006,46.68454779
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0,1.0841875,20.93509,0.65257523,20.87172513,46.61672513
15,,,,,295,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0,1.0618443,20.98822,0.661570559,20.93844285,46.68344285
16,,,,,296,0.0,0.0,0.0,0.0,296,0.0,0.0,0.0,0.0,1.0395,21.06764,0.67547778,20.668763580000004,46.41376358
17,,,,,297,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0,1.0171557,21.06764,0.683656203,20.668303200000004,46.4133032
18,,,,,298,0.0,0.0,0.0,0.0,298,0.0,0.0,0.0,0.0,0.9948125,21.12077,0.691837556,20.466170420000005,46.21117042
19,,,,,299,0.0,0.0,0.0,0.0,299,0.0,0.0,0.0,0.0,0.9724682,21.13397,0.699201085,20.264083550000002,46.00908355
20,,,,,300,0.0,0.0,0.0,0.0,300,0.0,0.0,14.18712767,0.0,0.950125,21.10746,0.707383414,19.994726550000003,45.73972655
21,,,,,301,0.000197415943725,0.09323067,0.09323067,0.381774429,301,0.0,0.0,14.29301176,0.0,0.9277818,21.13397,0.712294386,19.725553840000003,45.47055384
22,,,,,302,0.00047614279328,0.135267839,0.135267839,0.552080155,302,0.0,0.0,14.39928518,0.0,0.9054375,21.09415,0.718023184,19.45633497,45.20133497
23,,,,,303,0.0013429589518125,0.177581349,0.177581349,0.722385881,303,0.0,0.0,14.50594793,0.0,0.8830932,21.08084,0.722932202,19.321610290000002,45.06661029
24,,,,,304,0.0024037190650825,0.220171199,0.220171199,0.892691608,304,0.0,0.0,14.613,0.0,0.86075,21.13397,0.725389642,19.052575570000002,44.79757557
25,,,,,305,0.00458605689465,0.26303739,0.26303739,1.062997334,305,0.0,0.0,14.7204414,0.0,0.8384068,21.14728,0.728662953,18.91794325,44.66294325
26,,,,,306,0.006458100004785,0.306179922,0.306179922,1.23330306,306,0.0,0.0,14.82827213,0.0,0.8160625,21.13397,0.73439175,18.648724360000003,44.39372436
27,,,,,307,0.010777256822035,0.349598794,0.349598794,1.403608786,307,0.0,0.0,14.93649219,0.0,0.7937182,21.13397,0.738484897,18.37959756,44.12459756
28,,,,,308,0.016461320662985002,0.393294007,0.393294007,1.573914512,308,0.0,0.0,15.04510157,0.0,0.771375,21.13397,0.742579939,17.9760226,43.7210226
29,,,,,309,0.0198769991937,0.43726556,0.43726556,1.744220238,309,0.0,0.0,15.15410027,0.0,0.7490307,21.13397,0.747494817,17.437953150000006,43.18295315
30,,,,,310,0.027820643588485003,0.481513454,0.481513454,1.914525964,310,0.0,0.0,15.26348831,0.0,0.7266875,21.08084,0.752415556,16.496538660000006,42.24153866
31,,,,,311,0.059731714459312496,0.690639855,0.690639855,2.737195236,311,0.0,0.0,15.33236265,0.0,0.7043432,21.10746,0.756522375,15.286273870000002,41.03127387
32,,,,,312,0.09141527683728,0.901598016,0.901598016,3.561827486,312,0.0,0.0,15.40136327,0.0,0.682,21.14728,0.763905377,13.73970396,39.48470396
33,,,,,313,0.1285628880989475,1.113894237,1.113894237,4.386459737,313,0.0,0.0,15.47049018,0.0,0.6596568,21.1871,0.769658648,11.78988218,37.53488218
34,,,,,314,0.17340841279437497,1.327528519,1.327528519,5.211091987,314,0.0,0.0,15.53974338,0.0,0.6373125,21.14728,0.772127749,10.714157640000003,36.45915764
35,,,,,315,0.22057762326599997,1.542500862,1.542500862,6.035724238,315,0.0,0.0,15.60912286,0.0,0.6149693,21.1871,0.777058252,9.100501230000006,34.84550123
36,,,,,316,0.24860797230775,1.758811265,1.758811265,6.860356489,316,0.0,0.0,15.67862862,0.0,0.592625,21.1739,0.781989733,7.41962127,33.16462127
37,,,,,317,0.36633681077015,1.976459729,1.976459729,7.684988739,317,0.0,0.0,15.74826067,0.0,0.5702807,21.1739,0.785287459,5.604385220000001,31.34938522
38,,,,,318,0.43288711513245,2.195446254,2.195446254,8.50962099,318,0.0,0.0,15.81801901,0.0,0.5479375,21.13397,0.786939769,4.461483190000003,30.20648319
