,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current,new top cell voltage,new bottom cell voltage,new current,added voltage
0,Top_cell_1,2.63,lambda,light transmission as a function of wavelength,280.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,1.27,-33.9158,1.27,-50.584986410256406,-33.9158,1.2031222199169829,0.0,1.1059376530255305,2.3090598729425134
1,Top_cell_1,0.36,,,281.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,1.24969,-22.5285,1.24969,-39.19768641025641,-22.5285,1.2031206642312018,0.0005353297839054991,1.1059259369178676,2.3090466011490696
2,2T_tandem,2.9899999999999998,,,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,1.22938,-11.2617,1.22938,-27.930886410256413,-11.2617,1.203119108545421,0.0010706595678109982,1.1059142208102046,2.3090333293556258
3,,,,,283.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,1.20906,-2.04326,1.20906,-18.712446410256412,-2.04326,1.20311755285964,0.0016059893517164972,1.105902504702542,2.309020057562182
4,,,,,284.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,1.18875,4.94565,1.18875,-11.723536410256411,4.94565,1.2031159971738592,0.0021413191356219963,1.105890788594879,2.309006785768738
5,,,,,285.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,1.16844,9.84993,1.16844,-6.819256410256411,9.84993,1.2031144414880781,0.002676648919527495,1.105879072487216,2.3089935139752944
6,,,,,286.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,1.14813,13.1156,1.14813,-3.553586410256411,13.1156,1.2031128858022972,0.0032119787034329945,1.1058673563795534,2.3089802421818506
7,,,,,287.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,1.12781,15.2362,1.12781,-1.4329864102564116,15.2362,1.2031113301165164,0.0037473084873384938,1.1058556402718904,2.308966970388407
8,,,,,288.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,1.1075,16.5978,1.1075,-0.07138641025641235,16.5978,1.2031097744307355,0.004282638271243993,1.1058439241642277,2.308953698594963
9,,,,,289.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,1.08719,17.5258,1.08719,0.8566135897435885,17.5258,1.2031082187449544,0.0048179680551494915,1.1058322080565648,2.3089404268015192
10,,,,,290.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,1.06688,18.1162,1.06688,1.4470135897435874,18.1162,1.2031066630591736,0.00535329783905499,1.1058204919489019,2.3089271550080754
11,,,,,291.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,1.04656,18.4777,1.04656,1.808513589743587,18.4777,1.2031051073733927,0.00588862762296049,1.1058087758412392,2.3089138832146316
12,,,,,292.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,1.02625,18.7428,1.02625,2.0736135897435872,18.7428,1.2031035516876118,0.006423957406865989,1.1057970597335762,2.308900611421188
13,,,,,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,1.00594,18.9114,1.00594,2.2422135897435886,18.9114,1.2031019960018308,0.006959287190771488,1.1057853436259135,2.308887339627744
14,,,,,294.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.985625,19.0319,0.985625,2.3627135897435885,19.0319,1.20310044031605,0.0074946169746769875,1.1057736275182506,2.3088740678343003
15,,,,,295.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.965313,19.0802,0.965313,2.4110135897435896,19.0802,1.203098884630269,0.008029946758582486,1.1057619114105877,2.3088607960408565
16,,,,,296.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.945,19.1524,0.945,2.4832135897435883,19.1524,1.2030973289444882,0.008565276542487985,1.105750195302925,2.308847524247413
17,,,,,297.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,0.924687,19.1524,0.924687,2.4832135897435883,19.1524,1.203095773258707,0.009100606326393484,1.105738479195262,2.308834252453969
18,,,,,298.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.904375,19.2007,0.904375,2.5315135897435894,19.2007,1.2030942175729262,0.009635936110298983,1.105726763087599,2.308820980660525
