,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE
0,Top_cell_1,17.6,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0
1,Bottom_cell_1,11.11,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0
2,2T_tandem,28.71,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0
15,,,,,295,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0
16,,,,,296,0.0,0.0,0.0,0.0,296,0.0,0.0,0.0,0.0
17,,,,,297,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0
18,,,,,298,0.0,0.0,0.0,0.0,298,0.0,0.0,0.0,0.0
19,,,,,299,0.0,0.0,0.0,0.0,299,0.0,0.0,0.0,0.0
20,,,,,300,0.0,0.0,0.0,0.0,300,0.0,0.0,12.897388788521432,0.0
21,,,,,301,0.0001480907293924962,0.07693024903506296,0.0847551543654865,0.3470676629142872,301,0.0,0.0,12.9936470556992,0.0
22,,,,,302,0.00035717648916387706,0.11161765286371157,0.1229707626978491,0.5018910503148398,302,0.0,0.0,13.090259256240529,0.0
23,,,,,303,0.0010074149387569356,0.14653308200100884,0.1614375897702543,0.6567144377153924,303,0.0,0.0,13.187225390145418,0.0
24,,,,,304,0.0018031396242360262,0.18167653644695478,0.2001556355827022,0.811537825115945,304,0.0,0.0,13.28454545741387,0.0
25,,,,,305,0.0034402110567945563,0.21704801620154932,0.2391249001351926,0.9663612125164976,305,0.0,0.0,13.382219458045885,0.0
26,,,,,306,0.0048445162202523945,0.2526475212647924,0.2783453834277256,1.12118459991705,306,0.0,0.0,13.480247392041456,0.0
27,,,,,307,0.008084513322118072,0.2884750516366841,0.3178170854603011,1.2760079873176025,307,0.0,0.0,13.578629259400593,0.0
28,,,,,308,0.012348389608420388,0.3245306073172244,0.3575400062329192,1.4308313747181551,308,0.0,0.0,13.677365060123291,0.0
29,,,,,309,0.014910646331762534,0.36081418830641343,0.39751414574558,1.5856547621187076,309,0.0,0.0,13.776454794209553,0.0
30,,,,,310,0.02086953736158828,0.39732579460425094,0.4377395039982833,1.74047814951926,310,0.0,0.0,13.875898461659377,0.0
31,,,,,311,0.04480749129320549,0.5698886015034085,0.6278544135420409,2.4883593050281383,311,0.0,0.0,13.938511498484704,0.0
32,,,,,312,0.06857478071234085,0.7439629043920896,0.8196345598102563,3.238024987421988,312,0.0,0.0,14.00123933964474,0.0
33,,,,,313,0.0964409031889609,0.9191413217913833,1.0126311248078783,3.9876906698158376,313,0.0,0.0,14.064081985139472,0.0
34,,,,,314,0.1300815826270281,1.095423853701289,1.206844108534906,4.737356352209687,314,0.0,0.0,14.127039434968898,0.0
35,,,,,315,0.1654653650158351,1.2728105001218084,1.402273510991341,5.487022034603537,315,0.0,0.0,14.190111689133031,0.0
36,,,,,316,0.18649221204530267,1.451301261052939,1.5989193321771809,6.236687716997387,316,0.0,0.0,14.253298747631865,0.0
37,,,,,317,0.27480599899935415,1.6308961364946832,1.796781572092428,6.986353399391236,317,0.0,0.0,14.316600610465391,0.0
38,,,,,318,0.32472842641563177,1.8115951264470391,1.9958602307370807,7.736019081785086,318,0.0,0.0,14.380017277633618,0.0
39,,,,,319,0.3926994514892715,1.9933982309100076,2.19615530811114,8.485684764178936,319,0.0,0.0,14.443548749136548,0.0
40,,,,,320,0.4626233702984826,2.1770511543458007,2.398488357473545,9.238514911394793,320,0.0,0.0,14.507195024974177,0.0
41,,,,,321,0.6108699372807831,2.485737282932993,2.7385722751398918,10.515591397458692,321,0.0,0.0,14.590103991755017,0.0
42,,,,,322,0.6270712396141268,2.7963043015122713,3.0807283961803766,11.792667883522594,322,0.0,0.0,14.673247064344752,0.0
43,,,,,323,0.6909201786910881,3.108752210083636,3.424956720595,13.069744369586497,323,0.0,0.0,14.756624242743378,0.0
44,,,,,324,0.9242318723347133,3.423081008647086,3.771257248383761,14.346820855650396,324,0.0,0.0,14.840235526950904,0.0
45,,,,,325,1.0853291248630617,3.739290697202624,4.119629979546662,15.623897341714295,325,0.0,0.0,14.924080916967323,0.0
46,,,,,326,1.5103601798980302,4.057381275750249,4.470074914083702,16.9009738277782,326,0.0,0.0,15.008160412792638,0.0
47,,,,,327,1.7334316867388229,4.377352744289957,4.822592051994878,18.1780503138421,327,0.0,0.0,15.09247401442685,0.0
48,,,,,328,1.7093358561514127,4.699205102821753,5.177181393280194,19.455126799906,328,0.0,0.0,15.177021721869965,0.0
49,,,,,329,2.1096341075651672,5.022938351345637,5.53384293793965,20.732203285969906,329,0.0,0.0,15.261803535121969,0.0
50,,,,,330,2.4524444835380903,5.348842930290274,5.892896668342655,22.01047493365253,330,0.0,0.0,15.346819454182867,0.0
51,,,,,331,2.3457118408756927,5.6934753419312925,6.272583119567733,23.357855044347467,331,0.0,0.0,15.40827988813076,0.0
52,,,,,332,2.6047897558116078,6.040092187389235,6.6544558498779685,24.70523515504241,332,0.0,0.0,15.46983068413575,0.0
53,,,,,333,2.7151947233322424,6.3886934666641,7.038514859273363,26.052615265737337,333,0.0,0.0,15.53147184219785,0.0
