,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE
0,Top_cell_2,17.6,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0
1,Bottom_cell_1,11.11,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0
2,2T_tandem,28.71,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0
15,,,,,295,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0
16,,,,,296,0.0,0.0,0.0,0.0,296,0.0,0.0,0.0,0.0
17,,,,,297,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0
18,,,,,298,0.0,0.0,0.0,0.0,298,0.0,0.0,0.0,0.0
19,,,,,299,0.0,0.0,0.0,0.0,299,0.0,0.0,0.0,0.0
20,,,,,300,0.0,0.0,0.0,0.0,300,0.0,0.0,12.897388788521432,0.0
21,,,,,301,0.0001480831125241106,0.06993299292756108,0.09323067,0.381774429,301,0.0,0.0,12.9936470556992,0.0
22,,,,,302,0.0003571581175482212,0.10146537430347194,0.135267839,0.552080155,302,0.0,0.0,13.090259256240529,0.0
23,,,,,303,0.001007363122876929,0.13320504104157738,0.177581349,0.722385881,303,0.0,0.0,13.187225390145418,0.0
24,,,,,304,0.001803046876937152,0.16515199239177028,0.220171199,0.892691608,304,0.0,0.0,13.28454545741387,0.0
25,,,,,305,0.00344003410443099,0.19730622910415774,0.26303739,1.062997334,305,0.0,0.0,13.382219458045885,0.0
26,,,,,306,0.00484426704173757,0.22966775117873983,0.306179922,1.23330306,306,0.0,0.0,13.480247392041456,0.0
27,,,,,307,0.008084097487595907,0.26223655786540934,0.349598794,1.403608786,307,0.0,0.0,13.578629259400593,0.0
28,,,,,308,0.012347754462161919,0.2950126499142735,0.393294007,1.573914512,308,0.0,0.0,13.677365060123291,0.0
29,,,,,309,0.014909879378043292,0.32799602657522503,0.43726556,1.744220238,309,0.0,0.0,13.776454794209553,0.0
30,,,,,310,0.020868463900492396,0.3611866885983712,0.481513454,1.914525964,310,0.0,0.0,13.875898461659377,0.0
31,,,,,311,0.04480518658542515,0.51805389894985,0.690639855,2.737195236,311,0.0,0.0,13.938511498484704,0.0
32,,,,,312,0.0685712535213202,0.67629512558937,0.901598016,3.561827486,312,0.0,0.0,14.00123933964474,0.0
33,,,,,313,0.09643594263744455,0.8355400406129447,1.113894237,4.386459737,313,0.0,0.0,14.064081985139472,0.0
34,,,,,314,0.13007489172317027,0.9957886447706815,1.327528519,5.211091987,314,0.0,0.0,14.127039434968898,0.0
35,,,,,315,0.16545685414294897,1.1570409380625806,1.542500862,6.035724238,315,0.0,0.0,14.190111689133031,0.0
36,,,,,316,0.1864826196050418,1.3192969197385342,1.758811265,6.860356489,316,0.0,0.0,14.253298747631865,0.0
37,,,,,317,0.2747918640581923,1.48255659054865,1.976459729,7.684988739,317,0.0,0.0,14.316600610465391,0.0
38,,,,,318,0.324711723738443,1.6468199504929277,2.195446254,8.50962099,318,0.0,0.0,14.380017277633618,0.0
39,,,,,319,0.3926792526445671,1.8120869988212602,2.415770839,9.334253241,319,0.0,0.0,14.443548749136548,0.0
40,,,,,320,0.46259957480135555,1.9790356141234462,2.638337193,10.1623664,320,0.0,0.0,14.507195024974177,0.0
41,,,,,321,0.6108385166940983,2.2596449336690956,3.012429503,11.56715054,321,0.0,0.0,14.590103991755017,0.0
42,,,,,322,0.6270389856656773,2.541964064723532,3.388801236,12.97193467,322,0.0,0.0,14.673247064344752,0.0
43,,,,,323,0.690884640639812,2.8259930080368627,3.767452393,14.37671881,323,0.0,0.0,14.756624242743378,0.0
44,,,,,324,0.9241843335691172,3.1117317628589802,4.148382973,15.78150294,324,0.0,0.0,14.840235526950904,0.0
45,,,,,325,1.0852733000810812,3.3991803306900987,4.531592978,17.18628708,325,0.0,0.0,14.924080916967323,0.0
46,,,,,326,1.510282492982386,3.688338709279898,4.917082405,18.59107121,326,0.0,0.0,15.008160412792638,0.0
47,,,,,327,1.7333425260227604,3.9792069008786974,5.304851257,19.99585535,327,0.0,0.0,15.09247401442685,0.0
48,,,,,328,1.7092479350076486,4.271784904736391,5.694899533,21.40063948,328,0.0,0.0,15.177021721869965,0.0
49,,,,,329,2.109525596687527,4.566072720102873,6.087227232,22.80542361,329,0.0,0.0,15.261803535121969,0.0
50,,,,,330,2.4523183397343282,4.862334370445778,6.482186335,24.21152243,330,0.0,0.0,15.346819454182867,0.0
51,,,,,331,2.345591187192113,5.175620448349765,6.899841432,25.69364055,331,0.0,0.0,15.40827988813076,0.0
52,,,,,332,2.6046557761033946,5.490710463459066,7.319901435,27.17575867,332,0.0,0.0,15.46983068413575,0.0
53,,,,,333,2.7150550647248717,5.807604416523789,7.742366345,28.65787679,333,0.0,0.0,15.53147184219785,0.0
54,,,,,334,2.8269822001622864,6.126302308294043,8.167236163,30.13999491,334,0.0,0.0,15.593203362317045,0.0
55,,,,,335,3.2301712129789384,6.44680413726961,8.594510887,31.62211304,335,0.0,0.0,15.655025244493348,0.0
56,,,,,336,3.0919601764912286,6.7691099042006,9.024190518,33.10423116,336,0.0,0.0,15.71693748872675,0.0
57,,,,,337,2.9766696089533653,7.093219609087013,9.456275056,34.58634928,337,0.0,0.0,15.778940095017251,0.0
58,,,,,338,3.5072097668726587,7.419133252678955,9.890764502,36.0684674,338,0.0,0.0,15.841033063364858,0.0
59,,,,,339,3.9433407439829353,7.7468508304757835,10.32765885,37.55058552,339,0.0,0.0,15.903216393769563,0.0
60,,,,,340,4.378327679541042,8.073626552721818,10.76329757,39.01943333,340,0.0,0.0,15.965490086231377,0.0
61,,,,,341,4.362631440333905,8.318885332190312,11.09026256,40.08685425,341,0.0,0.0,16.038659957375998,0.0
62,,,,,342,4.593218976198833,8.565443312258894,11.41895957,41.15427516,342,0.0,0.0,16.11198356780133,0.0
63,,,,,343,4.888517446753939,8.81330048542649,11.74938859,42.22169607,343,0.0,0.0,16.18546091750738,0.0
64,,,,,344,4.289034266485052,9.0624568516931,12.08154962,43.28911698,344,0.0,0.0,16.259092006494143,0.0
65,,,,,345,4.625257948952315,9.312912411058724,12.41544266,44.35653789,345,0.0,0.0,16.33287683476162,0.0
