,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 4T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 4T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current
0,Top_cell_1,19.39,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0,1.27,-33.9158,0.0,21.17,46.915
1,Bottom_cell_2,13.44,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0,1.24969,-22.5285,0.076809949,21.17,46.915
2,4T_tandem,32.83,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0,1.22938,-11.2617,0.161864623,21.17,46.915
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0,1.20906,-2.04326,0.254281848,21.17,46.915
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0,1.18875,4.94565,0.348331821,21.17,46.915
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0,1.16844,9.84993,0.414576116,21.17,46.915
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0,1.14813,13.1156,0.489819645,21.17,46.915
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,1.12781,15.2362,0.548705293,21.146468690000006,46.89146869
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,1.1075,16.5978,0.576513933,21.01045507,46.75545507
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0,1.08719,17.5258,0.595325289,20.94217202,46.68717202
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0,1.06688,18.1162,0.602684853,21.00898181,46.75398181
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0,1.04656,18.4777,0.612498984,21.00842935,46.75342935
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0,1.02625,18.7428,0.63131034,20.940146300000002,46.6851463
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0,1.00594,18.9114,0.641942297,20.939547790000006,46.68454779
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0,0.985625,19.0319,0.65257523,20.87172513,46.61672513
