,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE
0,Top_cell_1,19.39,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0
1,Bottom_cell_2,12.24,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0
2,2T_tandem,31.630000000000003,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0
15,,,,,295,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0
16,,,,,296,0.0,0.0,0.0,0.0,296,0.0,0.0,0.0,0.0
17,,,,,297,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0
18,,,,,298,0.0,0.0,0.0,0.0,298,0.0,0.0,0.0,0.0
19,,,,,299,0.0,0.0,0.0,0.0,299,0.0,0.0,0.0,0.0
20,,,,,300,0.0,0.0,0.0,0.0,300,0.0,0.0,14.18712767,0.0
21,,,,,301,0.00016315367215356152,0.0847551543654865,0.0847551543654865,0.3470676629142872,301,0.0,0.0,14.29301176,0.0
22,,,,,302,0.00039350644063311713,0.1229707626978491,0.1229707626978491,0.5018910503148398,302,0.0,0.0,14.39928518,0.0
23,,,,,303,0.0011098834296704983,0.1614375897702543,0.1614375897702543,0.6567144377153924,303,0.0,0.0,14.50594793,0.0
24,,,,,304,0.0019865446831583192,0.2001556355827022,0.2001556355827022,0.811537825115945,304,0.0,0.0,14.613,0.0
25,,,,,305,0.0037901296671428025,0.2391249001351926,0.2391249001351926,0.9663612125164976,305,0.0,0.0,14.7204414,0.0
26,,,,,306,0.005337272727226638,0.2783453834277256,0.2783453834277256,1.12118459991705,306,0.0,0.0,14.82827213,0.0
27,,,,,307,0.008906823820024938,0.3178170854603011,0.3178170854603011,1.2760079873176025,307,0.0,0.0,14.93649219,0.0
28,,,,,308,0.013604397237162577,0.3575400062329192,0.3575400062329192,1.4308313747181551,308,0.0,0.0,15.04510157,0.0
29,,,,,309,0.016427272072936094,0.39751414574558,0.39751414574558,1.5856547621187076,309,0.0,0.0,15.15410027,0.0
30,,,,,310,0.02299226744750983,0.4377395039982833,0.4377395039982833,1.74047814951926,310,0.0,0.0,15.26348831,0.0
