,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE
0,Top_cell_2,21.29,lambda,light transmission as a function of wavelength,280,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0
1,Bottom_cell_2,13.44,,,281,0.0,0.0,0.0,0.0,281,0.0,0.0,0.0,0.0
2,2T_tandem,34.73,,,282,0.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0
3,,,,,283,0.0,0.0,0.0,0.0,283,0.0,0.0,0.0,0.0
4,,,,,284,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0
5,,,,,285,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,0.0
6,,,,,286,0.0,0.0,0.0,0.0,286,0.0,0.0,0.0,0.0
7,,,,,287,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0
8,,,,,288,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0
9,,,,,289,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0
10,,,,,290,0.0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0
11,,,,,291,0.0,0.0,0.0,0.0,291,0.0,0.0,0.0,0.0
12,,,,,292,0.0,0.0,0.0,0.0,292,0.0,0.0,0.0,0.0
13,,,,,293,0.0,0.0,0.0,0.0,293,0.0,0.0,0.0,0.0
14,,,,,294,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0
15,,,,,295,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0
16,,,,,296,0.0,0.0,0.0,0.0,296,0.0,0.0,0.0,0.0
17,,,,,297,0.0,0.0,0.0,0.0,297,0.0,0.0,0.0,0.0
18,,,,,298,0.0,0.0,0.0,0.0,298,0.0,0.0,0.0,0.0
19,,,,,299,0.0,0.0,0.0,0.0,299,0.0,0.0,0.0,0.0
20,,,,,300,0.0,0.0,0.0,0.0,300,0.0,0.0,14.18712767,0.0
21,,,,,301,0.00017913825669345265,0.08459894058722676,0.09323067,0.381774429,301,0.0,0.0,14.29301176,0.0
22,,,,,302,0.00043205927705690535,0.1227441128002572,0.135267839,0.552080155,302,0.0,0.0,14.39928518,0.0
23,,,,,303,0.0012186215606459763,0.1611400410771539,0.177581349,0.722385881,303,0.0,0.0,14.50594793,0.0
24,,,,,304,0.0021811715648434003,0.19978672451050153,0.220171199,0.892691608,304,0.0,0.0,14.613,0.0
25,,,,,305,0.004161458399474518,0.23868416400771542,0.26303739,1.062997334,305,0.0,0.0,14.7204414,0.0
26,,,,,306,0.005860179044204821,0.2778323595687956,0.306179922,1.23330306,306,0.0,0.0,14.82827213,0.0
27,,,,,307,0.009779448217851735,0.3172313102863267,0.349598794,1.403608786,307,0.0,0.0,14.93649219,0.0
28,,,,,308,0.01493725496936959,0.356881017067724,0.393294007,1.573914512,308,0.0,0.0,15.04510157,0.0
29,,,,,309,0.0180366940818958,0.39678147900557226,0.43726556,1.744220238,309,0.0,0.0,15.15410027,0.0
30,,,,,310,0.025244878901338516,0.4369326970072868,0.481513454,1.914525964,310,0.0,0.0,15.26348831,0.0
31,,,,,311,0.054201474286482886,0.6266972023296187,0.690639855,2.737195236,311,0.0,0.0,15.33236265,0.0
32,,,,,312,0.08295162497407706,0.8181238747843979,0.901598016,3.561827486,312,0.0,0.0,15.40136327,0.0
33,,,,,313,0.11665993746484007,1.010764723415774,1.113894237,4.386459737,313,0.0,0.0,15.47049018,0.0
34,,,,,314,0.15735345473025797,1.2046197491311617,1.327528519,5.211091987,314,0.0,0.0,15.53974338,0.0
35,,,,,315,0.2001555201260703,1.3996889519305618,1.542500862,6.035724238,315,0.0,0.0,15.60912286,0.0
36,,,,,316,0.225590688973642,1.5959723309065583,1.758811265,6.860356489,316,0.0,0.0,15.67862862,0.0
37,,,,,317,0.3324196435492532,1.793469886966567,1.976459729,7.684988739,317,0.0,0.0,15.74826067,0.0
38,,,,,318,0.39280841094530505,1.9921816201105877,2.195446254,8.50962099,318,0.0,0.0,15.81801901,0.0
39,,,,,319,0.47502970162774205,2.1921075294312047,2.415770839,9.334253241,319,0.0,0.0,15.88790362,0.0
40,,,,,320,0.5596133142025541,2.3940676543424777,2.638337193,10.1623664,320,0.0,0.0,15.95791453,0.0
41,,,,,321,0.7389400799093749,2.733524756901415,3.012429503,11.56715054,321,0.0,0.0,16.04911439,0.0
42,,,,,322,0.758538018659565,3.0750502428684103,3.388801236,12.97193467,322,0.0,0.0,16.14057177,0.0
43,,,,,323,0.8357730195625612,3.4186441131508793,3.767452393,14.37671881,323,0.0,0.0,16.23228667,0.0
44,,,,,324,1.117998990951898,3.764306366841407,4.148382973,15.78150294,324,0.0,0.0,16.32425908,0.0
45,,,,,325,1.312870615012371,4.112037005754822,4.531592978,17.18628708,325,0.0,0.0,16.41648901,0.0
46,,,,,326,1.827010307224978,4.461836027168882,4.917082405,18.59107121,326,0.0,0.0,16.50897645,0.0
47,,,,,327,2.0968492157658196,4.813703433805831,5.304851257,19.99585535,327,0.0,0.0,16.60172142,0.0
48,,,,,328,2.0677016448063954,5.167639224758252,5.694899533,21.40063948,328,0.0,0.0,16.69472389,0.0
49,,,,,329,2.5519232503928544,5.523643399118732,6.087227232,22.80542361,329,0.0,0.0,16.78798389,0.0
50,,,,,330,2.966604528695756,5.882035349847836,6.482186335,24.21152243,330,0.0,0.0,16.8815014,0.0
51,,,,,331,2.8374951675918307,6.261021993803687,6.899841432,25.69364055,331,0.0,0.0,16.94910788,0.0
52,,,,,332,3.1508893017205066,6.64219088636734,7.319901435,27.17575867,332,0.0,0.0,17.01681375,0.0
53,,,,,333,3.284440898298602,7.025542028446208,7.742366345,28.65787679,333,0.0,0.0,17.08461903,0.0
54,,,,,334,3.41984075299632,7.411075420947708,8.167236163,30.13999491,334,0.0,0.0,17.1525237,0.0
55,,,,,335,3.907584261643665,7.79879106205701,8.594510887,31.62211304,335,0.0,0.0,17.22052777,0.0
56,,,,,336,3.7403883963611038,8.188688952681526,9.024190518,33.10423116,336,0.0,0.0,17.28863124,0.0
57,,,,,337,3.600919749802443,8.580769092821262,9.456275056,34.58634928,337,0.0,0.0,17.3568341,0.0
58,,,,,338,4.242721757982525,8.975031483383628,9.890764502,36.0684674,338,0.0,0.0,17.42513637,0.0
59,,,,,339,4.7703156314353565,9.371476118924134,10.32765885,37.55058552,339,0.0,0.0,17.49353803,0.0
60,,,,,340,5.296525541479078,9.766781378349766,10.76329757,39.01943333,340,0.0,0.0,17.56203909,0.0
61,,,,,341,5.277537576678216,10.063474427569654,11.09026256,40.08685425,341,0.0,0.0,17.64252595,0.0
62,,,,,342,5.556482612921674,10.361739138315475,11.41895957,41.15427516,342,0.0,0.0,17.72318192,0.0
63,,,,,343,5.913709391301766,10.661575501513076,11.74938859,42.22169607,343,0.0,0.0,17.80400701,0.0
64,,,,,344,5.1885060240850605,10.962983517162455,12.08154962,43.28911698,344,0.0,0.0,17.88500121,0.0
65,,,,,345,5.595240615961172,11.26596318526361,12.41544266,44.35653789,345,0.0,0.0,17.96616452,0.0
