,cell name,efficiency,coupling,transmission,top cell wavelength (nm),top cell efficiency,top cell 2T SE,top cell 1J SE,top cell QE,bottom cell wavelength (nm),bottom cell efficiency,bottom cell 2T SE,bottom cell 1J SE,bottom cell QE,top cell voltage,top cell current,bottom cell voltage,filtered bottom cell current,bottom cell current,new top cell voltage,new bottom cell voltage,new current,added voltage
0,Top_cell_2,3.18,lambda,light transmission as a function of wavelength,280.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,1.397,-37.30738,1.397,-34.14738,-37.30738,0.0,0.0,1.3319772136630492,1.3319772136630492
1,Top_cell_2,0.43,,,281.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,1.374659,-24.78135,1.374659,-21.62135,-24.78135,0.001023180298004947,0.004256817363472695,1.3319678304562566,1.3329910107542615
2,2T_tandem,3.6100000000000003,,,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,1.352318,-12.38787,1.352318,-9.22787,-12.38787,0.002046360596009894,0.00851363472694539,1.3319584472494639,1.3340048078454738
3,,,,,283.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,1.329966,-2.247586,1.329966,0.9124140000000001,-2.247586,0.003069540894014841,0.012770452090418084,1.3319490640426712,1.3350186049366861
4,,,,,284.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,1.307625,5.440215,1.307625,8.600215,5.440215,0.004092721192019788,0.01702726945389078,1.3319396808358785,1.3360324020278984
5,,,,,285.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,1.285284,10.834923,1.285284,13.994923,10.834923,0.005115901490024735,0.021284086817363476,1.3319302976290859,1.3370461991191107
6,,,,,286.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,1.262943,14.42716,1.262943,17.58716,14.42716,0.006139081788029682,0.02554090418083617,1.3319209144222932,1.3380599962103228
7,,,,,287.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,1.240591,16.75982,1.240591,19.91982,16.75982,0.007162262086034629,0.029797721544308865,1.3319115312155005,1.339073793301535
8,,,,,288.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,1.21825,18.25758,1.21825,21.41758,18.25758,0.008185442384039576,0.03405453890778156,1.3319021480087079,1.3400875903927474
9,,,,,289.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,1.195909,19.27838,1.195909,22.43838,19.27838,0.009208622682044523,0.03831135627125425,1.3318927648019152,1.3411013874839597
10,,,,,290.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,1.173568,19.92782,1.173568,23.08782,19.92782,0.01023180298004947,0.04256817363472695,1.3318833815951225,1.342115184575172
11,,,,,291.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,1.151216,20.32547,1.151216,23.48547,20.32547,0.011254983278054416,0.046824990998199645,1.3318739983883299,1.3431289816663843
12,,,,,292.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,1.128875,20.61708,1.128875,23.77708,20.61708,0.012278163576059363,0.05108180836167234,1.3318646151815372,1.3441427787575966
13,,,,,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,1.106534,20.80254,1.106534,23.96254,20.80254,0.01330134387406431,0.05533862572514504,1.3318552319747445,1.3451565758488089
14,,,,,294.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,1.0841875,20.93509,1.0841875,24.09509,20.93509,0.014324524172069258,0.05959544308861773,1.3318458487679519,1.3461703729400212
15,,,,,295.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,1.0618443,20.98822,1.0618443,24.14822,20.98822,0.015347704470074205,0.06385226045209043,1.3318364655611592,1.3471841700312335
16,,,,,296.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,1.0395,21.06764,1.0395,24.22764,21.06764,0.01637088476807915,0.06810907781556312,1.3318270823543665,1.3481979671224458
17,,,,,297.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,1.0171557,21.06764,1.0171557,24.22764,21.06764,0.017394065066084097,0.07236589517903581,1.3318176991475739,1.349211764213658
18,,,,,298.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.9948125,21.12077,0.9948125,24.28077,21.12077,0.018417245364089046,0.0766227125425085,1.3318083159407812,1.3502255613048701
