,QE_smooth,wl,I_sun,Jsc_wl,v,i,Eg,SE
0,,280,4.72e-23,0.0,0.0,42.65,1.08,0.0
1,,281,4.21425e-20,0.0,0.069827226,42.65,1.08,0.0
2,,282,1.7665e-18,0.0,0.147149657,42.65,1.08,0.0
3,,283,1.91575e-17,0.0,0.231165316,42.65,1.08,0.0
4,,284,9.91325e-16,0.0,0.316665292,42.65,1.08,0.0
5,,285,1.524e-14,0.0,0.376887378,42.65,1.08,0.0
6,,286,2.87625e-13,0.0,0.445290586,42.65,1.08,0.0
7,,287,4.299e-12,0.0,0.498822994,42.6286079,1.08,0.0
8,,288,7.6575e-11,0.0,0.524103575,42.50495915,1.08,0.0
9,,289,8.4075e-10,0.0,0.541204808,42.44288365,1.08,0.0
10,,290,6.9425e-09,0.0,0.547895321,42.50361983,1.08,0.0
11,,291,4.8175e-08,0.0,0.556817258,42.50311759,1.08,0.0
12,,292,2.6775e-07,0.0,0.573918491,42.44104209,1.08,0.0
13,,293,1.1025e-06,0.0,0.583583906,42.44049799,1.08,0.0
14,,294,4.2875e-06,0.0,0.593250209,42.37884103,1.08,0.0
15,,295,1.47175e-05,0.0,0.601427781,42.4394935,1.08,0.0
16,,296,4.86e-05,0.0,0.614070709,42.19433053,1.08,0.0
17,,297,0.000112525,0.0,0.621505639,42.193912,1.08,0.0
18,,298,0.00028025,0.0,0.628943233,42.01015493,1.08,0.0
19,,299,0.00054925,0.0,0.63563735,41.82643959,1.08,0.0
20,83.97530317322747,300,0.0010145,0.020613522905739458,0.643075831,41.58156959,1.08,12.897388788521432
21,84.32097385892466,301,0.001925,0.03940580254689693,0.647540351,41.33686713,1.08,12.9936470556992
22,84.66664454462186,302,0.0032,0.06599280729414367,0.652748349,41.0921227,1.08,13.090259256240529
23,85.01231523031905,303,0.006875,0.14283166822050078,0.657211093,40.96964572,1.08,13.187225390145418
24,85.35798591601625,304,0.009925,0.20771869801391793,0.659445129,40.7250687,1.08,13.28454545741387
25,85.70365660171342,305,0.01585,0.3341610226477103,0.662420866,40.60267568,1.08,13.382219458045883
26,86.04932728741062,306,0.019175,0.40722235603662166,0.667628864,40.35793124,1.08,13.480247392041457
27,86.3949979731078,307,0.028025,0.5995148281151202,0.671349906,40.11327051,1.08,13.578629259400593
28,86.740668658805,308,0.03805,0.8198897876160361,0.675072672,39.74638418,1.08,13.677365060123291
29,87.0863393445022,309,0.041325,0.8969096791579929,0.679540743,39.25723014,1.08,13.776454794209553
30,87.4320100301994,310,0.052525,1.1482211741744097,0.684014142,38.40139878,1.08,13.875898461659375
31,87.54413422413597,311,0.078625,1.726535184965849,0.687747614,37.30115806,1.08,13.938511498484704
32,87.65625841807258,312,0.092175,2.0331901776304195,0.694459434,35.89518542,1.08,14.001239339644739
33,87.76838261200916,313,0.104925,2.324816848479444,0.69968968,34.12262016,1.08,14.064081985139472
34,87.88050680594576,314,0.11875,2.6429147386974603,0.701934317,33.14468876,1.08,14.127039434968898
35,87.99263099988234,315,0.13,2.9062136829384437,0.706416593,31.67772839,1.08,14.190111689133031
36,88.10475519381893,316,0.1285,2.8854721887150374,0.710899757,30.1496557,1.08,14.253298747631863
37,88.21687938775553,317,0.1685,3.8004777294908636,0.71389769,28.49944111,1.08,14.316600610465391
38,88.3290035816921,318,0.17925,4.060850014132855,0.71539979,27.46043926,1.08,14.380017277633618
39,88.4411277756287,319,0.197,4.482688023630378,0.716171678,25.50478572,1.08,14.443548749136548
40,88.5532519695653,320,0.2125,4.856694220124985,0.721408138,23.30442985,1.08,14.507195024974175
41,88.78189250989867,321,0.24575,5.648723162337961,0.722927054,21.10428325,1.08,14.590103991755017
42,89.01053305023204,322,0.22425,5.183905297005613,0.726678283,18.78178449,1.08,14.673247064344752
43,89.23917359056541,323,0.22225,5.1668656069038645,0.72669959,17.31507523,1.08,14.756624242743378
44,89.46781413089879,324,0.27,6.312522438511394,0.730450767,14.99257845,1.08,14.840235526950904
45,89.69645467123215,325,0.29025,6.8243014171361045,0.730480065,12.97585347,1.08,14.924080916967323
46,89.92509521156552,326,0.37225,8.80157808957319,0.733487764,10.65339657,1.08,15.008160412792638
47,90.15373575189889,327,0.396,9.415730072951089,0.736492851,8.514279556,1.08,15.09247401442685
