,QE_smooth,wl,I_sun,Jsc_wl,v,i,Eg,SE
0,,280,4.72e-23,0.0,1.27,-33.9158,1.7,0.0
1,,281,4.21425e-20,0.0,1.24969,-22.5285,1.7,0.0
2,,282,1.7665e-18,0.0,1.22938,-11.2617,1.7,0.0
3,,283,1.91575e-17,0.0,1.20906,-2.04326,1.7,0.0
4,,284,9.91325e-16,0.0,1.18875,4.94565,1.7,0.0
5,,285,1.524e-14,0.0,1.16844,9.84993,1.7,0.0
6,,286,2.87625e-13,0.0,1.14813,13.1156,1.7,0.0
7,,287,4.299e-12,0.0,1.12781,15.2362,1.7,0.0
8,,288,7.6575e-11,0.0,1.1075,16.5978,1.7,0.0
9,,289,8.4075e-10,0.0,1.08719,17.5258,1.7,0.0
10,,290,6.9425e-09,0.0,1.06688,18.1162,1.7,0.0
11,,291,4.8175e-08,0.0,1.04656,18.4777,1.7,0.0
12,,292,2.6775e-07,0.0,1.02625,18.7428,1.7,0.0
13,,293,1.1025e-06,0.0,1.00594,18.9114,1.7,0.0
14,,294,4.2875e-06,0.0,0.985625,19.0319,1.7,0.0
15,,295,1.47175e-05,0.0,0.965313,19.0802,1.7,0.0
16,,296,4.86e-05,0.0,0.945,19.1524,1.7,0.0
17,,297,0.000112525,0.0,0.924687,19.1524,1.7,0.0
18,,298,0.00028025,0.0,0.904375,19.2007,1.7,0.0
19,,299,0.00054925,0.0,0.884062,19.2127,1.7,0.0
20,,300,0.0010145,0.0,0.86375,19.1886,1.7,0.0
21,0.34706766291428726,301,0.001925,0.0001621954677384913,0.843438,19.2127,1.7,0.08475515436548653
22,0.5018910503148398,302,0.0032,0.00039119537031642634,0.823125,19.1765,1.7,0.12297076269784918
23,0.6567144377153924,303,0.006875,0.00110336506457037,0.802812,19.1644,1.7,0.16143758977025432
24,0.811537825115945,304,0.009925,0.0019748776709420995,0.7825,19.2127,1.7,0.2001556355827022
25,0.9663612125164975,305,0.01585,0.0037678701682739885,0.762188,19.2248,1.7,0.2391249001351926
26,1.12118459991705,306,0.019175,0.005305926829680126,0.741875,19.2127,1.7,0.2783453834277256
27,1.2760079873176025,307,0.028025,0.008854513885495435,0.721562,19.2127,1.7,0.31781708546030113
28,1.4308313747181551,308,0.03805,0.013524498370499315,0.70125,19.2127,1.7,0.3575400062329192
29,1.5856547621187076,309,0.041325,0.01633079441221245,0.680937,19.2127,1.7,0.39751414574558
30,1.74047814951926,310,0.052525,0.022857233452320654,0.660625,19.1644,1.7,0.4377395039982833
31,2.4883593050281383,311,0.078625,0.0490751314299225,0.640312,19.1886,1.7,0.6278544135420409
32,3.238024987421988,312,0.092175,0.07510611014159928,0.62,19.2248,1.7,0.8196345598102563
33,3.9876906698158376,313,0.104925,0.1056263107489878,0.599688,19.261,1.7,1.0126311248078783
34,4.737356352209687,314,0.11875,0.14247105963287324,0.579375,19.2248,1.7,1.206844108534906
35,5.487022034603537,315,0.13,0.18122493138738927,0.559063,19.261,1.7,1.4022735109913407
36,6.236687716997387,316,0.1285,0.20425445729357347,0.53875,19.249,1.7,1.5989193321771809
37,6.986353399391236,317,0.1685,0.300979593576788,0.518437,19.249,1.7,1.796781572092428
38,7.736019081785086,318,0.17925,0.35565682758489003,0.498125,19.2127,1.7,1.9958602307370807
39,8.485684764178936,319,0.197,0.43010167804723337,0.477812,19.261,1.7,2.1961553081111402
40,9.238514911394791,320,0.2125,0.5066854234571803,0.4575,19.2127,1.7,2.398488357473545
41,10.515591397458692,321,0.24575,0.6690515713650056,0.437187,19.261,1.7,2.7385722751398913
42,11.792667883522594,322,0.22425,0.68679594888755,0.416875,19.2248,1.7,3.0807283961803766
43,13.069744369586497,323,0.22225,0.7567261098144156,0.396563,19.249,1.7,3.4249567205949996
44,14.346820855650396,324,0.27,1.0122593186427113,0.37625,19.2369,1.7,3.771257248383761
45,15.623897341714297,325,0.29025,1.1887001014817842,0.355938,19.249,1.7,4.119629979546662
46,16.9009738277782,326,0.37225,1.6542127710295798,0.335625,19.249,1.7,4.470074914083702
47,18.1780503138421,327,0.396,1.898530477746242,0.315312,19.2729,1.7,4.822592051994878
48,19.455126799906,328,0.36375,1.8721396663247238,0.295,19.2849,1.7,5.177181393280194
49,20.732203285969902,329,0.42,2.310563883622447,0.274687,19.297,1.7,5.53384293793965
50,22.010474933652535,330,0.4585,2.686024856126467,0.254375,19.3091,1.7,5.892896668342655
51,23.357855044347467,331,0.412,2.569126580517933,0.234063,19.2729,1.7,6.272583119567733
52,24.705235155042406,332,0.43125,2.852880085994779,0.21375,19.297,1.7,6.6544558498779685
53,26.052615265737337,333,0.425,2.9738004529962914,0.193437,19.2849,1.7,7.038514859273363
54,27.399995376432276,334,0.4195,3.096394270590802,0.173125,19.261,1.7,7.424760147753917
55,28.747375487127215,335,0.4555,3.538007291565145,0.152813,19.2729,1.7,7.813191715319631
56,30.094755597822147,336,0.41525,3.3866247108178755,0.1325,19.3091,1.7,8.203809561970498
57,31.442135708517085,337,0.3815,3.260346925096361,0.112187,19.3212,1.7,8.59661368770653
58,32.78951581921202,338,0.42975,3.841447684978715,0.091875,19.3453,1.7,8.991604092527714
59,34.136895929906956,339,0.46275,4.319142048888556,0.0715625,19.3212,1.7,9.388780776434063
60,35.47221212176489,340,0.493,4.795583340603582,0.05125,19.2729,1.7,9.784815973304534
61,36.4425947688033,341,0.47675,4.778391247220496,0.0309375,19.297,1.7,10.082056875694692
62,37.412977415841716,342,0.4875,5.030953827806735,0.010625,19.2729,1.7,10.380872335456585
63,38.38336006288013,343,0.50425,5.354394311730948,-0.0096875,19.2849,1.7,10.68126235259021
64,39.35374270991854,344,0.43025,4.697780243858882,-0.03,19.297,1.7,10.983226927095568
65,40.324125356956955,345,0.4515,5.066046124648879,,,1.7,11.286766058972658
66,41.29450800399537,346,0.48125,5.545828958152282,,,1.7,11.591879748221482
67,42.26489065103378,347,0.4865,5.754656465648025,,,1.7,11.898567994842038
68,43.235273298072194,348,0.47625,5.779360360559511,,,1.7,12.20683079883433
69,44.20565594511061,349,0.47175,5.870059572197273,,,1.7,12.51666816019835
70,45.17603859214902,350,0.52375,6.679247856113809,,,1.7,12.828080078934105
71,45.768046965829065,351,0.54875,7.1100288641298395,,,1.7,13.033317321723029
72,46.34915566908313,352,0.51225,6.740526048470521,,,1.7,13.236402435774746
73,46.93026437233719,353,0.52425,7.004763532822962,,,1.7,13.440430465484814
