v,i
0,42.65
0.069827226,42.65
0.147149657,42.65
0.231165316,42.65
0.316665292,42.65
0.376887378,42.65
0.445290586,42.65
0.498822994,42.6286079
0.524103575,42.50495915
0.541204808,42.44288365
0.547895321,42.50361983
0.556817258,42.50311759
0.573918491,42.44104209
0.583583906,42.44049799
0.593250209,42.37884103
0.601427781,42.4394935
0.614070709,42.19433053
0.621505639,42.193912
0.628943233,42.01015493
0.63563735,41.82643959
0.643075831,41.58156959
0.647540351,41.33686713
0.652748349,41.0921227
0.657211093,40.96964572
0.659445129,40.7250687
0.662420866,40.60267568
0.667628864,40.35793124
0.671349906,40.11327051
0.675072672,39.74638418
0.679540743,39.25723014
0.684014142,38.40139878
0.687747614,37.30115806
0.694459434,35.89518542
0.69968968,34.12262016
0.701934317,33.14468876
0.706416593,31.67772839
0.710899757,30.1496557
0.71389769,28.49944111
0.71539979,27.46043926
0.716171678,25.50478572
0.721408138,23.30442985
0.722927054,21.10428325
0.726678283,18.78178449
0.72669959,17.31507523
0.730450767,14.99257845
0.730480065,12.97585347
0.733487764,10.65339657
0.736492851,8.514279556
0.7365,6.130793059
0.737,3.747310526
0.73754,1.669344702
0.738,0.997022638
0.738,0
