,QE_smooth,wl,I_sun,Jsc_wl,v,i,Eg,SE,,,,,,,,,
0,0,280,5.19E-23,0,1.397,-37.30738,1.87,0,,,,,,,,,
1,0,281,4.64E-20,0,1.374659,-24.78135,1.87,0,,,,,,,,,
2,0,282,1.94E-18,0,1.352318,-12.38787,1.87,0,,,,,,,,,
3,0,283,2.11E-17,0,1.329966,-2.247586,1.87,0,,,,,,,,,
4,0,284,1.09E-15,0,1.307625,5.440215,1.87,0,,,,,,,,,
5,0,285,1.68E-14,0,1.285284,10.834923,1.87,0,,,,,,,,,
6,0,286,3.16E-13,0,1.262943,14.42716,1.87,0,,,,,,,,,
7,0,287,4.73E-12,0,1.240591,16.75982,1.87,0,,,,,,,,,
8,0,288,8.42E-11,0,1.21825,18.25758,1.87,0,,,,,,,,,
9,0,289,9.25E-10,0,1.195909,19.27838,1.87,0,,,,,,,,,
10,0,290,7.64E-09,0,1.173568,19.92782,1.87,0,,,,,,,,,
11,0,291,5.30E-08,0,1.151216,20.32547,1.87,0,,,,,,,,,
12,0,292,2.95E-07,0,1.128875,20.61708,1.87,0,,,,,,,,,
13,0,293,1.21E-06,0,1.106534,20.80254,1.87,0,,,,,,,,,
14,0,294,4.72E-06,0,1.0841875,20.93509,1.87,0,,,,,,,,,
15,0,295,1.62E-05,0,1.0618443,20.98822,1.87,0,,,,,,,,,
16,0,296,5.35E-05,0,1.0395,21.06764,1.87,0,,,,,,,,,
17,0,297,0.000123778,0,1.0171557,21.06764,1.87,0,,,,,,,,,
18,0,298,0.000308275,0,0.9948125,21.12077,1.87,0,,,,,,,,,
19,0,299,0.000604175,0,0.9724682,21.13397,1.87,0,,,,,,,,,
20,0,300,0.00111595,0,0.950125,21.10746,1.87,0,,,,,,,,,
21,0.381774429,301,0.0021175,0.000178415,0.9277818,21.13397,1.87,0.09323067,,,,,,,,,
22,0.552080155,302,0.00352,0.000430315,0.9054375,21.09415,1.87,0.135267839,,,,,,,,,
23,0.722385881,303,0.0075625,0.001213702,0.8830932,21.08084,1.87,0.177581349,,,,,,,,,
24,0.892691608,304,0.0109175,0.002172365,0.86075,21.13397,1.87,0.220171199,,,,,,,,,
25,1.062997334,305,0.017435,0.004144657,0.8384068,21.14728,1.87,0.26303739,,,,,,,,,
26,1.23330306,306,0.0210925,0.00583652,0.8160625,21.13397,1.87,0.306179922,,,,,,,,,
27,1.403608786,307,0.0308275,0.009739965,0.7937182,21.13397,1.87,0.349598794,,,,,,,,,
28,1.573914512,308,0.041855,0.014876948,0.771375,21.13397,1.87,0.393294007,,,,,,,,,
29,1.744220238,309,0.0454575,0.017963874,0.7490307,21.13397,1.87,0.43726556,,,,,,,,,
30,1.914525964,310,0.0577775,0.025142957,0.7266875,21.08084,1.87,0.481513454,,,,,,,,,
31,2.737195236,311,0.0864875,0.053982645,0.7043432,21.10746,1.87,0.690639855,,,,,,,,,
32,3.561827486,312,0.1013925,0.082616721,0.682,21.14728,1.87,0.901598016,,,,,,,,,
33,4.386459737,313,0.1154175,0.116188942,0.6596568,21.1871,1.87,1.113894237,,,,,,,,,
34,5.211091987,314,0.130625,0.156718166,0.6373125,21.14728,1.87,1.327528519,,,,,,,,,
35,6.035724238,315,0.143,0.199347425,0.6149693,21.1871,1.87,1.542500862,,,,,,,,,
36,6.860356489,316,0.14135,0.224679903,0.592625,21.1739,1.87,1.758811265,,,,,,,,,
37,7.684988739,317,0.18535,0.331077553,0.5702807,21.1739,1.87,1.976459729,,,,,,,,,
38,8.50962099,318,0.197175,0.39122251,0.5479375,21.13397,1.87,2.195446254,,,,,,,,,
39,9.334253241,319,0.2167,0.473111846,0.5255932,21.1871,1.87,2.415770839,,,,,,,,,
40,10.1623664,320,0.23375,0.557353966,0.50325,21.13397,1.87,2.638337193,,,,,,,,,
41,11.56715054,321,0.270325,0.735956729,0.4809057,21.1871,1.87,3.012429503,,,,,,,,,
42,12.97193467,322,0.246675,0.755475544,0.4585625,21.14728,1.87,3.388801236,,,,,,,,,
43,14.37671881,323,0.244475,0.832398721,0.4362193,21.1739,1.87,3.767452393,,,,,,,,,
44,15.78150294,324,0.297,1.113485251,0.413875,21.16059,1.87,4.148382973,,,,,,,,,
45,17.18628708,325,0.319275,1.307570112,0.3915318,21.1739,1.87,4.531592978,,,,,,,,,
46,18.59107121,326,0.409475,1.819634048,0.3691875,21.1739,1.87,4.917082405,,,,,,,,,
47,19.99585535,327,0.4356,2.088383526,0.3468432,21.20019,1.87,5.304851257,,,,,,,,,
48,21.40063948,328,0.400125,2.059353633,0.3245,21.21339,1.87,5.694899533,,,,,,,,,
49,22.80542361,329,0.462,2.541620272,0.3021557,21.2267,1.87,6.087227232,,,,,,,,,
50,24.21152243,330,0.50435,2.954627342,0.2798125,21.24001,1.87,6.482186335,,,,,,,,,
51,25.69364055,331,0.4532,2.826039239,0.2574693,21.20019,1.87,6.899841432,,,,,,,,,
52,27.17575867,332,0.474375,3.138168095,0.235125,21.2267,1.87,7.319901435,,,,,,,,,
53,28.65787679,333,0.4675,3.271180498,0.2127807,21.21339,1.87,7.742366345,,,,,,,,,
54,30.13999491,334,0.46145,3.406033698,0.1904375,21.1871,1.87,8.167236163,,,,,,,,,
55,31.62211304,335,0.50105,3.891808021,0.1680943,21.20019,1.87,8.594510887,,,,,,,,,
56,33.10423116,336,0.456775,3.725287182,0.14575,21.24001,1.87,9.024190518,,,,,,,,,
57,34.58634928,337,0.41965,3.586381618,0.1234057,21.25332,1.87,9.456275056,,,,,,,,,
58,36.0684674,338,0.472725,4.225592453,0.1010625,21.27983,1.87,9.890764502,,,,,,,,,
59,37.55058552,339,0.509025,4.751056254,0.07871875,21.25332,1.87,10.32765885,,,,,,,,,
60,39.01943333,340,0.5423,5.275141675,0.056375,21.20019,1.87,10.76329757,,,,,,,,,
61,40.08685425,341,0.524425,5.256230372,0.03403125,21.2267,1.87,11.09026256,,,,,,,,,
62,41.15427516,342,0.53625,5.534049211,0.0116875,21.20019,1.87,11.41895957,,,,,,,,,
63,42.22169607,343,0.554675,5.889833743,-0.01065625,21.21339,1.87,11.74938859,,,,,,,,,
64,43.28911698,344,0.473275,5.167558268,-0.033,21.2267,1.87,12.08154962,,,,,,,,,
65,44.35653789,345,0.49665,5.572650737,0,0,1.87,12.41544266,,,,,,,,,
66,45.4239588,346,0.529375,6.100411854,0,0,1.87,12.75106772,,,,,,,,,
67,46.49137972,347,0.53515,6.330122112,0,0,1.87,13.08842479,,,,,,,,,
68,47.55880063,348,0.523875,6.357296397,0,0,1.87,13.42751388,,,,,,,,,
69,48.62622154,349,0.518925,6.457065529,0,0,1.87,13.76833498,,,,,,,,,
70,49.69364245,350,0.576125,7.347172642,0,0,1.87,14.11088809,,,,,,,,,
71,50.34485166,351,0.603625,7.821031751,0,0,1.87,14.33664905,,,,,,,,,
72,50.98407124,352,0.563475,7.414578653,0,0,1.87,14.56004268,,,,,,,,,
73,51.62329081,353,0.576675,7.705239886,0,0,1.87,14.78447351,,,,,,,,,
74,52.26251038,354,0.656425,8.904576928,0,0,1.87,15.00994155,,,,,,,,,
75,52.90172996,355,0.665225,9.160125799,0,0,1.87,15.2364468,,,,,,,,,
76,53.54094953,356,0.608025,8.497519148,0,0,1.87,15.46398925,,,,,,,,,
77,54.1801691,357,0.519475,7.367291818,0,0,1.87,15.69256891,,,,,,,,,
78,54.81938868,358,0.472175,6.794458531,0,0,1.87,15.92218578,,,,,,,,,
79,55.45860825,359,0.52195,7.619508637,0,0,1.87,16.15283986,,,,,,,,,
80,56.09782782,360,0.638,9.44721661,0,0,1.87,16.38453114,,,,,,,,,
81,56.84553934,361,0.58025,8.730786956,0,0,1.87,16.64903497,,,,,,,,,
82,57.59401566,362,0.593175,9.067831015,0,0,1.87,16.91497666,,,,,,,,,
83,58.34249198,363,0.650925,10.10781304,0,0,1.87,17.18213284,,,,,,,,,
84,59.0909683,364,0.658075,10.37845081,0,0,1.87,17.45050351,,,,,,,,,
85,59.83944461,365,0.694925,11.12891955,0,0,1.87,17.72008867,,,,,,,,,
86,60.58792093,366,0.7931,12.89524904,0,0,1.87,17.99088832,,,,,,,,,
87,61.33639725,367,0.792825,13.08568049,0,0,1.87,18.26290246,,,,,,,,,
88,62.08487357,368,0.7425,12.43840594,0,0,1.87,18.53613108,,,,,,,,,
89,62.83334988,369,0.76615,13.0246192,0,0,1.87,18.81057419,,,,,,,,,
90,63.58464085,370,0.80575,13.89917136,0,0,1.87,19.08707671,,,,,,,,,
91,64.49868495,371,0.764775,13.41816416,0,0,1.87,19.41378617,,,,,,,,,
92,65.41272905,372,0.743875,13.27210534,0,0,1.87,19.74197877,,,,,,,,,
93,66.32677315,373,0.668525,12.12690574,0,0,1.87,20.07165452,,,,,,,,,
94,67.24081724,374,0.609675,11.24184572,0,0,1.87,20.4028134,,,,,,,,,
95,68.15486134,375,0.653675,12.2496768,0,0,1.87,20.73545543,,,,,,,,,
96,69.06890544,376,0.73095,13.91850973,0,0,1.87,21.0695806,,,,,,,,,
97,69.98294954,377,0.79035,15.2893034,0,0,1.87,21.40518891,,,,,,,,,
98,70.89699363,378,0.9163,18.00495144,0,0,1.87,21.74228036,,,,,,,,,
99,71.81103773,379,0.819775,16.3591122,0,0,1.87,22.08085495,,,,,,,,,
100,72.72508183,380,0.7733,15.66933169,0,0,1.87,22.42091269,,,,,,,,,
101,73.28702558,381,0.813725,16.65959269,0,0,1.87,22.65361648,,,,,,,,,
102,73.83732966,382,0.64955,13.4334196,0,0,1.87,22.88362473,,,,,,,,,
103,74.38763373,383,0.509575,10.644917,0,0,1.87,23.11452591,,,,,,,,,
104,74.9379378,384,0.568425,11.99335755,0,0,1.87,23.34632002,,,,,,,,,
105,75.48824188,385,0.71445,15.22462237,0,0,1.87,23.57900706,,,,,,,,,
106,76.03854595,386,0.6941,14.93749597,0,0,1.87,23.81258704,,,,,,,,,
107,76.58885002,387,0.7106,15.44316691,0,0,1.87,24.04705994,,,,,,,,,
108,77.1391541,388,0.69795,15.3167124,0,0,1.87,24.28242578,,,,,,,,,
109,77.68945817,389,0.75735,16.78197123,0,0,1.87,24.51868455,,,,,,,,,
