wavelength (nm),transmission
597,0.142692204
596,0.140026522
595,0.137469816
594,0.134929838
593,0.132452946
592,0.130047302
591,0.127732096
590,0.125540619
589,0.123372307
588,0.121312637
587,0.119273872
586,0.117352247
585,0.115403814
584,0.113517361
583,0.111639481
582,0.109814405
581,0.10799469
580,0.106167297
579,0.104376621
578,0.102584534
577,0.100742989
576,0.098967867
575,0.097132807
574,0.095269299
573,0.093508406
572,0.091630678
571,0.089829369
570,0.087973204
569,0.086135092
568,0.084279928
567,0.082412672
566,0.08049675
565,0.078632698
564,0.076724148
563,0.074820614
562,0.072895584
561,0.070966015
560,0.069007664
559,0.067000961
558,0.064947987
557,0.062868767
556,0.060750647
555,0.058602839
554,0.056359453
553,0.054052806
552,0.051790943
551,0.049438343
550,0.047122812
549,0.044812036
548,0.042567635
547,0.040435019
546,0.038411884
545,0.036508744
544,0.034759257
543,0.033156331
542,0.03172107
541,0.030403028
540,0.029211524
539,0.028148453
538,0.027151003
537,0.026227193
536,0.025367596
535,0.024577899
534,0.023806105
533,0.023052089
532,0.022325301
531,0.02162823
530,0.020934837
529,0.020247943
528,0.019571202
527,0.018885056
526,0.018235741
525,0.017565051
524,0.01692597
523,0.01627367
522,0.01563413
521,0.015006361
520,0.014383783
519,0.013776685
518,0.013197069
517,0.012605543
516,0.012037488
515,0.011490791
514,0.01094646
513,0.010430546
512,0.009905459
511,0.009419375
510,0.008922328
509,0.008444961
508,0.007986001
507,0.007531292
506,0.007100603
505,0.00667897
504,0.00627392
503,0.005890093
502,0.005514546
501,0.005188165
500,0.00486156
499,0.004558135
498,0.004281892
497,0.004024266
496,0.003796992
495,0.003574604
494,0.003377341
493,0.003194164
492,0.003016062
491,0.002850354
490,0.00269576
489,0.002547981
488,0.002405498
487,0.002280842
486,0.002151336
485,0.002034096
484,0.001910564
483,0.001810766
482,0.001710039
481,0.001608285
480,0.001520746
479,0.001425731
478,0.001344878
477,0.00127306
476,0.001192802
475,0.001115343
474,0.001060239
473,0.000994587
472,0.000931184
471,0.000872305
470,0.000821078
469,0.000775978
468,0.000723402
467,0.00068881
466,0.000643604
465,0.000604984
464,0.000574916
463,0.000531369
462,0.000499787
461,0.000467978
460,0.000446091
459,0.000427217
458,0.00039557
457,0.000375521
456,0.000350866
455,0.000329397
454,0.000308681
453,0.000295468
452,0.000277442
451,0.00026491
450,0.000242848
449,0.000230577
448,0.000225772
447,0.000207466
446,0.000193578
445,0.000188698
444,0.000172757
443,0.000164216
442,0.000156857
441,0.000146629
440,0.000138946
439,0.000125712
438,0.000127072
437,0.000115555
436,0.000103194
435,0.000100311
434,9.39E-05
433,8.77E-05
432,8.96E-05
431,7.66E-05
430,7.25E-05
429,6.44E-05
428,5.18E-05
427,4.86E-05
426,4.91E-05
425,4.27E-05
424,3.94E-05
423,2.68E-05
422,2.17E-05
421,1.34E-05
420,1.72E-05
419,1.69E-05
418,3.43E-06
417,1.27E-07
416,0
415,0
414,0
413,0
412,0
411,0
410,0
409,0
408,0
407,0
406,0
405,0
404,0
403,0
402,0
401,0
400,0
399,0
398,0
397,0
396,0
395,0
394,0
393,0
392,0
391,0
390,0
389,0
388,0
387,0
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,0
378,0
377,0
376,0
375,0
374,0
373,0
372,0
371,0
370,0
369,0
368,0
367,0
366,0
365,0
364,0
363,0
362,0
361,0
360,0
359,0
358,0
357,0
356,0
355,0
354,0
353,0
352,0
351,0
350,0
349,0
348,0
347,0
346,0
345,0
344,0
343,0
342,0
341,0
340,0
339,0
338,0
337,0
336,0
335,0
334,0
333,0
332,0
331,0
330,0
329,0
328,0
327,0
326,0
325,0
324,0
323,0
322,0
321,0
320,0
319,0
318,0
317,0
316,0
315,0
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,0
303,0
302,0
301,0
300,0
