wavelength (nm),transmission
1300,0.75
1200,0.75
1100,0.75
1000,0.75
950,0.75
900,0.67807312
899,0.677935028
898,0.677911072
897,0.678220291
896,0.677873077
895,0.678495026
894,0.678126373
893,0.67829628
892,0.679090118
891,0.678347244
890,0.678834763
889,0.679728394
888,0.679038925
887,0.679809418
886,0.680597153
885,0.679852676
884,0.680684433
883,0.681716538
882,0.681199875
881,0.681432266
880,0.682742081
879,0.682846298
878,0.682441711
877,0.683514557
876,0.684580841
875,0.684534454
874,0.684845123
873,0.685913773
872,0.68677536
871,0.687042542
870,0.68736496
869,0.688216858
868,0.689198608
867,0.689867325
866,0.690202866
865,0.690982437
864,0.691897049
863,0.692602539
862,0.693383637
861,0.694303055
860,0.694986496
859,0.695843582
858,0.696598969
857,0.697473831
856,0.698319702
855,0.699110947
854,0.699919815
853,0.700600052
852,0.70151268
851,0.702289734
850,0.703070755
849,0.703943024
848,0.704590225
847,0.705401306
846,0.706164932
845,0.707043915
844,0.707748337
843,0.708316956
842,0.708937149
841,0.709564972
840,0.710104828
839,0.710779495
838,0.711397553
837,0.711778946
836,0.712320252
835,0.712903519
834,0.71334671
833,0.713699722
832,0.714191666
831,0.714492798
830,0.714663544
829,0.714943619
828,0.715256958
827,0.715367127
826,0.715588837
825,0.71554657
824,0.715658569
823,0.715623703
822,0.71571991
821,0.715567856
820,0.715360642
819,0.715299377
818,0.715066376
817,0.714728394
816,0.714493485
815,0.714170303
814,0.713800278
813,0.713484726
812,0.712904129
811,0.712329941
810,0.711815033
809,0.711413956
808,0.710721817
807,0.710091553
806,0.709283447
805,0.708466339
804,0.707797546
803,0.707086182
802,0.706189499
801,0.705239182
800,0.704440765
799,0.709326172
798,0.708544312
797,0.707632446
796,0.706639557
795,0.705428314
794,0.704129486
793,0.703308106
792,0.702282715
791,0.701167679
790,0.700158539
789,0.698827515
788,0.697460709
787,0.696445389
786,0.695242004
785,0.693976288
784,0.692651825
783,0.691509094
782,0.690243454
781,0.689003449
780,0.68788353
779,0.686494751
778,0.685273743
777,0.683989639
776,0.682441254
775,0.68163887
774,0.67992569
773,0.678505859
772,0.677706986
771,0.676334076
770,0.674900284
769,0.673588715
768,0.672357407
767,0.67138916
766,0.670054245
765,0.668853073
764,0.667469177
763,0.666425552
762,0.664951096
761,0.664066162
760,0.662678452
759,0.661475983
758,0.660525208
757,0.659082642
756,0.658154602
755,0.656623993
754,0.655579987
753,0.654404602
752,0.653119888
751,0.652034378
750,0.651025238
749,0.649658966
748,0.648217087
747,0.646908341
746,0.645433426
745,0.643857346
744,0.642355194
743,0.640744476
742,0.63906395
741,0.637046623
740,0.634848251
739,0.632695618
738,0.630242844
737,0.627182617
736,0.624137421
735,0.620854607
734,0.616707077
733,0.612325058
732,0.607541695
731,0.602257652
730,0.596231575
729,0.589605522
728,0.582591286
727,0.574522896
726,0.565918732
725,0.55635582
724,0.546233406
723,0.53544796
722,0.524074135
721,0.511783943
720,0.499194374
719,0.48615242
718,0.472869072
717,0.459230728
716,0.445531807
715,0.431876679
714,0.418279228
713,0.405177307
712,0.392194405
711,0.379550743
710,0.3674757
709,0.356214562
708,0.345435333
707,0.335133591
706,0.32549633
705,0.3167383
704,0.308360138
703,0.300834217
702,0.293835068
701,0.287523804
700,0.281823788
699,0.276621819
698,0.271839237
697,0.26768446
696,0.263969479
695,0.260669975
694,0.257791195
693,0.255223332
692,0.252899532
691,0.250946789
690,0.249221134
689,0.247740727
688,0.246568565
687,0.245451565
686,0.244523964
685,0.243725739
684,0.243060932
683,0.242421398
682,0.241989975
681,0.24164402
680,0.241259136
679,0.240952587
678,0.240630875
677,0.240339184
676,0.240086594
675,0.239856682
674,0.239596062
673,0.239373169
672,0.239168758
671,0.23890995
670,0.238648796
669,0.238368244
668,0.238095837
667,0.237741947
666,0.237458172
665,0.237100525
664,0.236714802
663,0.236264782
662,0.235865498
661,0.235394535
660,0.234842606
659,0.234354839
658,0.233805256
657,0.23317627
656,0.232591591
655,0.231973515
654,0.231319122
653,0.230693359
652,0.229983578
651,0.229238854
650,0.228447628
649,0.227646332
648,0.226822414
647,0.226013966
646,0.225123787
645,0.224274826
644,0.223360844
643,0.222403984
642,0.221473064
641,0.220452271
640,0.219382744
639,0.218300667
638,0.217156353
637,0.215969505
636,0.2147962
635,0.213577843
634,0.212246666
633,0.211069183
632,0.209712162
631,0.208336926
630,0.206947422
629,0.205622387
628,0.204126263
627,0.202710171
626,0.201279488
625,0.199796219
624,0.198335419
623,0.196867085
622,0.195347824
621,0.193895111
620,0.19231741
619,0.190755882
618,0.189190331
617,0.187574978
616,0.185931549
615,0.184229946
614,0.182470512
613,0.180655193
612,0.178811436
611,0.1768293
610,0.174830055
609,0.17275486
608,0.170624962
607,0.168397942
606,0.16606245
605,0.163714924
604,0.161179829
603,0.158702526
602,0.156085167
601,0.15344636
600,0.150768099
599,0.148072214
598,0.145390139
