wavelength (nm),transmission
210,0.002232
211,0.0018
212,0.001654
213,0.002141
214,0.001755
215,0.001976
216,0.001975
217,0.00207
218,0.001883
219,0.001764
220,0.001336
221,0.001143
222,0.001224
223,0.001306
224,0.001521
225,0.001368
226,0.001125
227,0.000916
228,0.000982
229,0.001063
230,0.001046
231,0.00099
232,0.000854
233,0.000755
234,0.000734
235,0.000654
236,0.000585
237,0.000676
238,0.000789
239,0.000745
240,0.000578
241,0.000622
242,0.000531
243,0.000482
244,0.000588
245,0.000599
246,0.000534
247,0.000558
248,0.000521
249,0.000571
250,0.000623
251,0.000638
252,0.000668
253,0.000642
254,0.000613
255,0.000644
256,0.000577
257,0.000619
258,0.000655
259,0.000689
260,0.000727
261,0.0007
262,0.000693
263,0.000691
264,0.000689
265,0.000721
266,0.000816
267,0.000821
268,0.000768
269,0.000773
270,0.000834
271,0.000822
272,0.000813
273,0.000835
274,0.000858
275,0.000878
276,0.000841
277,0.000842
278,0.000895
279,0.000844
280,0.000877
281,0.00092
282,0.000851
283,0.000879
284,0.000859
285,0.000906
286,0.000975
287,0.000964
288,0.000901
289,0.001
290,0.001013
291,0.000945
292,0.001013
293,0.001021
294,0.001077
295,0.001113
296,0.000976
297,0.001079
298,0.001219
299,0.001174
300,0.001138
301,0.001174
302,0.001173
303,0.001249
304,0.001263
305,0.001278
306,0.001248
307,0.001222
308,0.001286
309,0.001257
310,0.001294
311,0.001402
312,0.001402
313,0.001281
314,0.001297
315,0.001302
316,0.001281
317,0.001337
318,0.0014
319,0.001313
320,0.001322
321,0.001328
322,0.001282
323,0.001309
324,0.001314
325,0.001303
326,0.00132
327,0.001283
328,0.001283
329,0.001299
330,0.001348
331,0.00128
332,0.001305
333,0.001507
334,0.00149
335,0.001381
336,0.001481
337,0.001515
338,0.001447
339,0.001449
340,0.001503
341,0.001466
342,0.001399
343,0.001432
344,0.001444
345,0.001478
346,0.001409
347,0.001326
348,0.001279
349,0.001175
350,0.00124
351,0.001229
352,0.00117
353,0.001229
354,0.001246
355,0.001203
356,0.001168
357,0.001153
358,0.001177
359,0.001187
360,0.001221
361,0.00114
362,0.001104
363,0.001132
364,0.001186
365,0.001134
366,0.001208
367,0.001264
368,0.001217
369,0.001166
370,0.001096
371,0.00118
372,0.001094
373,0.0011
374,0.001209
375,0.001188
376,0.001138
377,0.001208
378,0.001208
379,0.00118
380,0.001082
381,0.001088
382,0.001109
383,0.001107
384,0.001145
385,0.001108
386,0.001097
387,0.001199
388,0.001122
389,0.001209
390,0.001152
391,0.001087
392,0.001185
393,0.001222
394,0.001135
395,0.001064
396,0.001055
397,0.000923
398,0.001047
399,0.001109
400,0.00101
401,0.001136
402,0.00118
403,0.001215
404,0.001082
405,0.001125
406,0.001232
407,0.001108
408,0.001103
409,0.001228
410,0.00129
411,0.001165
412,0.001116
413,0.001211
414,0.001146
415,0.001075
416,0.001095
417,0.001066
418,0.001189
419,0.001209
420,0.001143
421,0.001188
422,0.001191
423,0.001188
424,0.001195
425,0.001236
426,0.001278
427,0.001157
428,0.001254
429,0.001281
430,0.00124
431,0.001305
432,0.001262
433,0.001373
434,0.001358
435,0.001242
436,0.001329
437,0.001238
438,0.001158
439,0.001219
440,0.0012
441,0.001261
442,0.001284
443,0.001279
444,0.001254
445,0.001175
446,0.001303
447,0.001402
448,0.001332
449,0.001327
450,0.001166
451,0.001041
452,0.001091
453,0.001136
454,0.001119
455,0.001236
456,0.001204
457,0.001271
458,0.001283
459,0.001244
460,0.001254
461,0.001289
462,0.001214
463,0.00113
464,0.001152
465,0.001115
466,0.001156
467,0.001135
468,0.001079
469,0.000996
470,0.00108
471,0.001189
472,0.001159
473,0.001166
474,0.001171
475,0.001197
476,0.001298
477,0.001446
478,0.001464
479,0.001489
